customerid,churn,customer_gender,customer_seniorcitizen,customer_partner,customer_dependents,customer_tenure,phone_phoneservice,phone_multiplelines,internet_internetservice,internet_onlinesecurity,internet_onlinebackup,internet_deviceprotection,internet_techsupport,internet_streamingtv,internet_streamingmovies,account_paperlessbilling,account_charges_monthly,total_mensual,dias_contrato,total_diario,paymentmethod_credit card (automatic),paymentmethod_electronic check,paymentmethod_mailed check,tipo_contrato_Bienal,tipo_contrato_Mensual,churn_numeric
0056-epfbg,no,male,0,yes,yes,20,no,no phone service,dsl,yes,no,yes,yes,no,no,yes,39.4,825.4,730,1.1306849315068492,True,False,False,True,False,0.0
0057-qbuqh,no,female,0,no,yes,43,yes,yes,no,no internet service,no,no,no,no,no,yes,25.1,1070.15,730,1.465958904109589,False,True,False,True,False,0.0
0058-evzwm,no,female,0,yes,no,55,yes,yes,fiber optic,yes,no,no,no,yes,no,yes,89.8,4959.6,30,165.32000000000002,False,False,False,False,True,0.0
0060-fualy,no,female,0,yes,no,59,yes,yes,fiber optic,yes,yes,no,no,yes,no,yes,94.75,5597.65,30,186.5883333333333,False,True,False,False,True,0.0
0064-sudog,no,female,0,yes,yes,12,yes,no,no,no internet service,no,no,no,no,no,no,20.3,224.5,730,0.30753424657534245,False,False,False,True,False,0.0
0064-yijgf,no,male,0,yes,yes,27,yes,yes,fiber optic,no,no,no,no,no,no,yes,75.75,1929.0,30,64.3,False,False,False,False,True,0.0
0067-dkwbl,yes,male,1,no,no,2,yes,no,dsl,yes,no,no,no,no,no,yes,49.25,91.1,30,3.0366666666666666,False,True,False,False,True,1.0
0068-figtf,no,female,0,no,no,27,yes,no,dsl,no,yes,yes,yes,yes,yes,no,78.2,2078.95,365,5.695753424657534,False,False,True,False,False,0.0
0071-ndafp,no,male,0,yes,yes,25,yes,yes,no,no internet service,no,no,no,no,no,no,25.5,630.6,730,0.8638356164383562,True,False,False,True,False,0.0
0074-hdkdg,no,male,0,yes,yes,25,yes,no,dsl,yes,yes,yes,no,no,no,yes,61.6,1611.0,365,4.413698630136986,False,False,False,False,False,0.0
0076-lveps,no,male,0,no,yes,29,no,no phone service,dsl,yes,yes,yes,yes,no,no,yes,45.0,1242.45,30,41.415,False,False,True,False,True,0.0
0078-xzmht,no,male,0,yes,no,72,yes,yes,dsl,no,yes,yes,yes,yes,yes,yes,85.15,6316.2,730,8.652328767123288,False,False,False,True,False,0.0
0080-emyvy,no,female,0,no,no,14,yes,no,dsl,no,yes,no,no,no,no,no,51.45,727.85,365,1.994109589041096,True,False,False,False,False,0.0
0080-orozo,no,female,0,no,no,35,yes,no,fiber optic,no,no,yes,yes,yes,yes,yes,99.25,3532.0,365,9.676712328767124,False,True,False,False,False,0.0
0082-ldzue,no,male,0,no,no,1,yes,no,dsl,no,no,no,no,no,no,yes,44.3,44.3,30,1.4766666666666666,False,False,True,False,True,0.0
0082-oqiqy,no,male,0,no,no,29,yes,no,fiber optic,no,no,no,yes,yes,yes,yes,94.2,2607.6,30,86.92,False,True,False,False,True,0.0
0083-pivik,no,male,0,no,no,64,yes,yes,dsl,yes,yes,yes,yes,yes,no,no,81.25,5567.55,365,15.253561643835617,False,True,False,False,False,0.0
0089-iiqko,no,female,0,yes,yes,39,yes,yes,fiber optic,no,no,no,yes,yes,yes,yes,99.95,3767.4,30,125.58,True,False,False,False,True,0.0
0093-exyql,no,female,1,no,no,40,yes,no,fiber optic,no,no,no,no,yes,yes,yes,91.55,3673.6,30,122.45333333333333,False,True,False,False,True,0.0
0093-xwzfy,yes,male,0,no,no,40,yes,yes,fiber optic,no,yes,yes,no,yes,yes,yes,104.5,4036.85,30,134.56166666666667,True,False,False,False,True,1.0
0094-oifmo,yes,female,1,no,no,11,yes,no,fiber optic,no,yes,no,no,yes,yes,yes,95.0,1120.3,30,37.343333333333334,False,True,False,False,True,1.0
0096-bxers,no,female,0,yes,no,6,yes,yes,dsl,no,no,no,no,no,no,no,50.35,314.55,30,10.485000000000001,False,True,False,False,True,0.0
0096-fcpuf,no,male,0,no,no,30,yes,yes,dsl,yes,no,no,no,no,yes,yes,64.5,1888.45,30,62.94833333333334,False,False,True,False,True,0.0
0098-bowso,no,male,0,no,no,27,yes,no,no,no internet service,no,no,no,no,no,yes,19.4,529.8,30,17.66,False,True,False,False,True,0.0
0100-duvfc,no,male,1,yes,no,70,yes,yes,fiber optic,no,yes,yes,no,yes,yes,yes,104.8,7308.95,365,20.024520547945205,False,True,False,False,False,0.0
0103-csitq,no,female,0,yes,no,57,yes,yes,fiber optic,no,yes,yes,yes,yes,yes,yes,109.4,6252.7,365,17.13068493150685,False,False,False,False,False,0.0
0104-ppxdv,no,male,0,yes,no,58,yes,no,dsl,no,no,yes,no,no,no,no,50.3,2878.55,365,7.886438356164384,True,False,False,False,False,0.0
0106-ghrqr,no,male,0,no,no,16,yes,yes,dsl,no,yes,yes,no,no,yes,yes,71.4,1212.1,30,40.40333333333333,False,False,False,False,True,0.0
0106-ugrdo,no,female,0,yes,no,69,yes,yes,fiber optic,yes,yes,yes,yes,yes,yes,yes,116.0,8182.85,730,11.209383561643836,False,True,False,True,False,0.0
0107-weslm,yes,male,0,no,no,1,yes,no,no,no internet service,no,no,no,no,no,yes,19.85,19.85,30,0.6616666666666667,False,True,False,False,True,1.0
0107-yhina,yes,male,0,no,yes,1,yes,yes,fiber optic,no,no,yes,no,yes,yes,yes,99.75,99.75,30,3.325,False,True,False,False,True,1.0
0111-klbqg,no,male,1,yes,yes,32,yes,no,fiber optic,no,yes,no,no,yes,yes,yes,93.95,2861.45,30,95.38166666666666,False,False,True,False,True,0.0
0112-qawrz,no,male,0,yes,yes,16,yes,yes,fiber optic,no,no,yes,no,yes,no,yes,90.8,1442.2,30,48.07333333333334,False,False,False,False,True,0.0
0112-qwpnc,yes,male,0,yes,no,49,yes,yes,dsl,yes,no,yes,yes,yes,yes,no,84.35,4059.35,365,11.121506849315068,False,True,False,False,False,1.0
0114-igabw,no,female,0,yes,no,71,no,no phone service,dsl,no,yes,yes,yes,yes,yes,no,58.25,4145.9,730,5.679315068493151,False,False,False,True,False,0.0
0114-pegzz,no,female,0,no,no,33,yes,yes,fiber optic,no,yes,yes,no,yes,yes,no,107.55,3645.5,30,121.51666666666667,False,True,False,False,True,0.0
0114-rsrrw,no,female,0,yes,no,10,yes,no,no,no internet service,no,no,no,no,no,yes,19.95,187.75,30,6.258333333333334,False,False,False,False,True,0.0
0115-tfert,yes,male,0,yes,no,21,yes,yes,fiber optic,no,yes,yes,yes,yes,yes,yes,111.2,2317.1,30,77.23666666666666,False,True,False,False,True,1.0
0117-lfrmw,yes,male,0,yes,yes,37,no,no phone service,dsl,yes,yes,yes,no,no,no,no,40.2,1448.8,30,48.29333333333333,False,False,False,False,True,1.0
0118-jpnoy,no,female,1,no,no,26,yes,no,fiber optic,yes,no,no,no,yes,no,yes,85.8,2193.65,30,73.12166666666667,True,False,False,False,True,0.0
0120-yzlqa,,male,0,no,no,71,yes,no,no,no internet service,no,no,no,no,no,yes,19.9,1355.1,730,1.8563013698630135,True,False,False,True,False,
0121-snyrk,no,male,0,no,no,50,no,no phone service,dsl,yes,no,no,yes,no,no,yes,35.4,1748.9,365,4.791506849315069,False,False,True,False,False,0.0
0122-oahpz,yes,female,0,no,no,7,yes,yes,fiber optic,no,no,no,no,no,no,yes,73.85,511.25,30,17.041666666666668,False,True,False,False,True,1.0
0123-crbrt,no,female,0,yes,yes,61,yes,yes,dsl,yes,yes,yes,yes,yes,yes,no,88.1,5526.75,730,7.570890410958904,False,False,True,True,False,0.0
0125-lzqxk,yes,male,0,no,no,15,yes,no,fiber optic,no,no,yes,yes,yes,yes,yes,101.35,1553.95,30,51.79833333333333,False,True,False,False,True,1.0
0128-mkwsg,no,female,0,no,yes,26,no,no phone service,dsl,yes,no,no,yes,no,yes,no,45.8,1147.0,30,38.233333333333334,False,False,True,False,True,0.0
0129-kptwj,no,male,0,yes,no,72,yes,no,fiber optic,no,no,yes,no,yes,yes,yes,94.65,6747.35,30,224.9116666666667,False,True,False,False,True,0.0
0129-qmpdr,no,male,0,yes,yes,44,yes,no,no,no internet service,no,no,no,no,no,yes,20.5,865.05,365,2.3699999999999997,False,False,False,False,False,0.0
0130-sxoun,no,male,0,no,no,66,yes,yes,fiber optic,no,yes,no,no,no,yes,no,89.4,5976.9,30,199.23,True,False,False,False,True,0.0
0133-bmfzo,yes,female,0,no,no,2,yes,no,fiber optic,yes,yes,no,yes,no,no,yes,86.25,181.65,30,6.055000000000001,False,True,False,False,True,1.0
0134-xwxce,no,female,1,no,no,44,yes,no,dsl,no,no,yes,yes,yes,yes,no,74.85,3268.05,365,8.953561643835616,False,False,False,False,False,0.0
0135-nmxap,yes,female,0,no,no,12,yes,yes,fiber optic,no,yes,no,no,yes,no,yes,89.75,1052.4,30,35.080000000000005,False,False,False,False,True,1.0
0136-ifmyd,no,male,1,yes,no,69,yes,yes,fiber optic,no,yes,yes,yes,yes,yes,yes,109.95,7634.25,730,10.457876712328767,False,True,False,True,False,0.0
0137-ocgab,yes,female,0,no,no,1,yes,yes,fiber optic,no,yes,no,no,no,no,yes,80.2,80.2,30,2.6733333333333333,False,False,True,False,True,1.0
0137-udeuo,yes,female,0,no,no,3,yes,no,no,no internet service,no,no,no,no,no,no,19.85,63.75,30,2.125,False,False,True,False,True,1.0
0139-ivfjg,no,female,0,yes,no,2,yes,no,fiber optic,yes,yes,no,no,yes,no,no,90.35,190.5,30,6.35,False,True,False,False,True,0.0
0141-yeays,no,female,1,no,no,27,yes,yes,fiber optic,no,yes,yes,no,no,no,yes,86.45,2401.05,30,80.03500000000001,False,False,False,False,True,0.0
0142-gvysn,no,male,0,no,no,26,yes,no,no,no internet service,no,no,no,no,no,yes,20.3,511.25,30,17.041666666666668,False,True,False,False,True,0.0
0147-eswwr,no,female,1,yes,no,39,yes,yes,fiber optic,no,no,no,yes,yes,yes,yes,101.25,3949.15,30,131.63833333333335,False,True,False,False,True,0.0
0148-dcdos,yes,male,0,no,no,25,yes,yes,fiber optic,no,no,no,no,yes,yes,yes,94.7,2362.1,30,78.73666666666666,False,False,False,False,True,1.0
0151-ontov,yes,female,0,no,no,1,yes,no,fiber optic,no,no,no,no,no,no,no,70.9,70.9,30,2.3633333333333337,False,False,True,False,True,1.0
0154-qyhju,,male,0,no,no,29,yes,no,dsl,yes,yes,no,yes,no,no,yes,58.75,1696.2,365,4.647123287671233,False,True,False,False,False,
0156-fvpta,yes,male,0,yes,no,22,yes,no,dsl,yes,no,no,yes,no,no,yes,54.2,1152.7,30,38.42333333333333,False,True,False,False,True,1.0
0162-rzgmz,,female,1,no,no,5,yes,no,dsl,yes,yes,no,yes,no,no,no,59.9,287.85,30,9.595,True,False,False,False,True,
0164-apgrb,no,female,0,no,no,72,yes,yes,fiber optic,yes,yes,yes,yes,yes,yes,yes,114.9,8496.7,730,11.639315068493152,False,True,False,True,False,0.0
0164-xairp,no,female,0,no,no,24,yes,no,no,no internet service,no,no,no,no,no,yes,19.55,470.2,730,0.6441095890410958,False,False,False,True,False,0.0
0168-xzkbb,no,female,0,yes,no,19,yes,yes,fiber optic,no,no,no,no,yes,no,yes,86.85,1564.4,30,52.14666666666667,False,True,False,False,True,0.0
0174-qrvvy,no,male,0,yes,yes,71,yes,yes,no,no internet service,no,no,no,no,no,no,25.35,1847.55,730,2.530890410958904,True,False,False,True,False,0.0
0177-pxbat,no,male,1,yes,no,33,yes,yes,fiber optic,yes,no,yes,yes,yes,yes,yes,109.9,3694.7,30,123.15666666666667,False,False,False,False,True,0.0
0178-ciikr,no,female,0,no,no,3,yes,no,no,no internet service,no,no,no,no,no,no,19.95,58.0,30,1.9333333333333333,False,False,True,False,True,0.0
0178-szbho,no,male,0,yes,yes,47,yes,yes,fiber optic,no,yes,no,no,yes,no,no,87.2,4017.45,30,133.915,False,True,False,False,True,0.0
0181-ritdd,no,male,0,yes,yes,62,yes,no,fiber optic,yes,yes,yes,yes,yes,yes,no,108.15,6825.65,730,9.350205479452054,False,False,True,True,False,0.0
0186-caerr,no,male,0,no,no,71,yes,yes,fiber optic,yes,yes,yes,yes,yes,yes,yes,116.3,8309.55,365,22.765890410958903,False,False,False,False,False,0.0
0187-qsxoe,no,male,1,yes,no,7,yes,no,fiber optic,no,no,no,no,yes,yes,yes,89.0,605.45,30,20.18166666666667,False,True,False,False,True,0.0
0187-wznab,no,female,0,yes,yes,27,yes,no,fiber optic,yes,no,no,no,no,no,no,74.4,1972.35,30,65.74499999999999,False,False,True,False,True,0.0
0188-gwfle,no,male,0,no,no,2,yes,no,no,no internet service,no,no,no,no,no,no,20.05,33.7,30,1.1233333333333335,False,False,True,False,True,0.0
0191-equuh,no,female,0,no,yes,25,no,no phone service,dsl,yes,no,no,yes,no,no,no,35.05,844.45,730,1.1567808219178082,False,False,False,True,False,0.0
0191-zhskz,no,male,1,no,no,30,yes,no,dsl,yes,yes,no,no,yes,yes,yes,74.75,2111.3,30,70.37666666666668,False,True,False,False,True,0.0
0193-eszxp,yes,female,1,yes,no,58,yes,no,fiber optic,yes,yes,no,yes,yes,yes,yes,105.5,6205.5,365,17.0013698630137,True,False,False,False,False,1.0
0195-iescp,yes,male,0,yes,no,10,yes,yes,fiber optic,no,no,no,no,no,yes,yes,85.25,855.3,30,28.509999999999998,False,True,False,False,True,1.0
0196-jtuqi,no,female,0,no,no,9,yes,yes,fiber optic,no,no,no,no,no,no,yes,75.2,633.85,30,21.128333333333334,True,False,False,False,True,0.0
0196-vulgz,yes,female,1,yes,no,6,yes,yes,fiber optic,no,no,no,no,no,yes,yes,84.35,474.9,30,15.83,False,True,False,False,True,1.0
0197-pnknk,no,female,0,yes,yes,69,yes,yes,fiber optic,yes,no,yes,no,no,no,no,84.45,5848.6,365,16.023561643835617,False,False,False,False,False,0.0
0201-mibol,no,female,1,no,no,66,yes,yes,fiber optic,yes,no,no,no,yes,yes,yes,102.4,6471.85,730,8.86554794520548,False,False,False,True,False,0.0
0201-oamxr,yes,female,0,no,no,70,yes,yes,fiber optic,yes,yes,yes,yes,yes,yes,no,115.55,8127.6,365,22.267397260273974,True,False,False,False,False,1.0
0203-hhyij,yes,male,0,no,no,25,yes,yes,no,no internet service,no,no,no,no,no,no,25.3,676.35,365,1.853013698630137,False,False,False,False,False,1.0
0206-oyvoc,no,female,0,yes,yes,46,yes,no,no,no internet service,no,no,no,no,no,yes,19.25,864.2,730,1.1838356164383563,False,False,True,True,False,0.0
0206-tbwlc,no,female,0,yes,no,54,yes,yes,fiber optic,yes,yes,yes,yes,yes,yes,yes,114.65,6049.5,365,16.573972602739726,False,False,True,False,False,0.0
0207-mdknv,yes,female,0,no,no,15,yes,no,fiber optic,yes,no,yes,yes,yes,yes,no,105.1,1582.75,30,52.75833333333333,False,True,False,False,True,1.0
0208-bpqej,no,female,0,yes,yes,12,yes,no,no,no internet service,no,no,no,no,no,no,19.4,198.1,30,6.6033333333333335,False,False,False,False,True,0.0
0212-isbbf,no,female,0,no,no,22,no,no phone service,dsl,no,yes,no,no,yes,yes,yes,50.35,1098.85,30,36.62833333333333,False,True,False,False,True,0.0
0214-jhpfw,no,female,0,yes,no,70,no,no phone service,dsl,no,yes,yes,yes,yes,yes,no,57.8,4039.3,730,5.533287671232877,False,False,False,True,False,0.0
0215-bqkgs,no,male,0,no,no,30,yes,no,fiber optic,yes,yes,yes,no,no,no,yes,84.3,2438.6,30,81.28666666666666,True,False,False,False,True,0.0
0218-qnvas,no,male,0,yes,yes,71,yes,yes,fiber optic,no,yes,no,no,yes,yes,no,100.55,7113.75,365,19.48972602739726,False,False,False,False,False,0.0
0219-qaerp,no,male,0,yes,no,30,yes,no,no,no internet service,no,no,no,no,no,no,19.8,576.65,365,1.57986301369863,True,False,False,False,False,0.0
0219-ytzue,yes,male,0,yes,yes,4,yes,yes,fiber optic,no,yes,yes,no,no,no,yes,84.8,371.9,30,12.396666666666667,False,False,False,False,True,1.0
0220-ebgce,yes,male,0,no,no,2,yes,no,fiber optic,no,no,yes,no,no,yes,yes,85.85,167.3,30,5.576666666666667,False,True,False,False,True,1.0
0221-nauxk,no,male,0,no,yes,10,yes,no,no,no internet service,no,no,no,no,no,yes,19.95,219.5,365,0.6013698630136987,False,False,False,False,False,0.0
0221-wmxnq,no,male,1,no,no,4,yes,no,fiber optic,yes,no,no,no,no,no,no,75.35,273.4,30,9.113333333333333,False,True,False,False,True,0.0
0222-cnvpt,no,male,1,no,no,52,no,no phone service,dsl,yes,no,no,no,yes,yes,yes,48.8,2555.05,30,85.16833333333334,True,False,False,False,True,0.0
0224-hjapt,yes,male,0,no,no,5,yes,yes,dsl,no,no,no,no,no,no,no,47.15,223.15,30,7.4383333333333335,False,True,False,False,True,1.0
0224-nijlp,no,male,0,yes,yes,8,yes,no,no,no internet service,no,no,no,no,no,no,20.15,165.5,730,0.2267123287671233,False,False,True,True,False,0.0
0224-rlwwd,no,female,1,no,no,2,yes,no,dsl,no,no,no,no,no,no,yes,44.3,89.3,30,2.9766666666666666,False,True,False,False,True,0.0
0225-zorzp,no,male,0,no,no,3,yes,no,fiber optic,no,yes,no,no,no,yes,no,84.3,235.05,30,7.835,False,True,False,False,True,0.0
0228-mauwc,no,male,0,no,no,19,yes,yes,dsl,no,no,yes,yes,no,no,no,59.55,1144.6,30,38.15333333333333,False,True,False,False,True,0.0
0229-lfjaf,no,male,0,no,no,72,yes,yes,dsl,yes,yes,yes,yes,no,no,no,69.65,4908.25,730,6.723630136986301,False,False,False,True,False,0.0
0230-ubypq,no,male,1,yes,no,63,no,no phone service,dsl,yes,no,no,yes,no,no,no,36.1,2298.9,365,6.298356164383562,False,False,False,False,False,0.0
0230-wequw,no,male,0,yes,no,66,no,no phone service,dsl,yes,yes,yes,yes,yes,no,yes,56.6,3789.2,730,5.1906849315068495,False,False,False,True,False,0.0
0231-lxvap,yes,male,0,no,no,1,yes,no,fiber optic,no,no,no,yes,no,no,yes,75.9,75.9,30,2.5300000000000002,False,True,False,False,True,1.0
0233-fthav,no,female,0,no,no,60,yes,yes,fiber optic,no,no,yes,no,no,no,yes,79.2,4765.0,365,13.054794520547945,False,False,False,False,False,0.0
0234-tevtt,no,female,0,yes,yes,48,no,no phone service,dsl,yes,no,yes,no,no,yes,no,45.0,2196.3,365,6.017260273972603,True,False,False,False,False,0.0
0235-kgslc,yes,female,0,no,no,1,yes,no,fiber optic,no,no,yes,no,yes,no,yes,85.55,85.55,30,2.8516666666666666,True,False,False,False,True,1.0
0236-hfwsv,yes,male,0,no,no,15,yes,yes,fiber optic,no,no,no,no,yes,yes,yes,93.35,1444.65,30,48.155,False,True,False,False,True,1.0
0237-yfutl,no,female,0,yes,no,50,yes,yes,fiber optic,yes,yes,no,yes,yes,yes,yes,109.65,5405.8,30,180.19333333333333,False,False,False,False,True,0.0
0238-whbiq,no,male,0,yes,yes,72,yes,yes,dsl,yes,yes,yes,yes,yes,yes,no,89.7,6339.3,730,8.683972602739725,True,False,False,True,False,0.0
0239-oxexl,no,female,0,no,no,46,yes,yes,fiber optic,yes,yes,no,no,no,no,no,84.25,3847.6,30,128.25333333333333,False,False,True,False,True,0.0
0244-lgnfy,no,female,0,yes,yes,72,yes,yes,dsl,yes,yes,yes,yes,yes,yes,no,92.65,6733.0,730,9.223287671232876,False,False,False,True,False,0.0
0247-sluji,no,male,0,yes,yes,1,yes,no,no,no internet service,no,no,no,no,no,no,19.7,19.7,30,0.6566666666666666,False,False,True,False,True,0.0
0248-ipdfw,no,female,0,no,no,1,yes,yes,dsl,no,no,no,no,no,no,yes,50.1,50.1,30,1.6700000000000002,False,True,False,False,True,0.0
0248-pghbz,no,female,1,no,no,67,yes,no,fiber optic,yes,yes,no,yes,yes,no,yes,92.45,6140.85,730,8.412123287671234,False,False,False,True,False,0.0
0253-zteob,no,female,0,yes,yes,48,yes,yes,dsl,no,yes,no,yes,yes,yes,no,79.65,3870.3,730,5.301780821917808,False,True,False,True,False,0.0
0254-fnmci,no,female,0,no,no,72,yes,no,fiber optic,yes,yes,yes,yes,yes,yes,yes,109.9,7624.2,730,10.444109589041096,False,True,False,True,False,0.0
0254-kcjgt,no,male,0,yes,no,52,yes,yes,dsl,yes,yes,yes,yes,no,yes,yes,81.4,4354.45,365,11.93,True,False,False,False,False,0.0
0254-wwrkd,no,female,0,yes,yes,67,yes,no,dsl,no,yes,no,no,no,no,no,50.55,3431.75,365,9.402054794520549,True,False,False,False,False,0.0
0256-lthvj,yes,female,0,yes,yes,28,yes,no,fiber optic,no,no,no,no,no,yes,yes,81.05,2227.1,30,74.23666666666666,False,True,False,False,True,1.0
0257-kxzgu,no,female,0,yes,yes,32,yes,yes,dsl,no,yes,yes,no,no,no,no,62.45,2045.55,30,68.185,False,False,False,False,True,0.0
0257-zesqc,yes,female,1,yes,no,27,yes,no,fiber optic,yes,no,no,no,no,no,yes,75.2,1929.35,30,64.31166666666667,False,False,False,False,True,1.0
0258-nokbl,no,male,0,no,no,3,yes,no,fiber optic,no,yes,yes,no,no,yes,no,90.4,268.45,30,8.948333333333332,False,True,False,False,True,0.0
0259-gbzsh,yes,male,0,no,no,2,yes,yes,fiber optic,no,no,no,no,yes,no,yes,85.65,181.5,30,6.05,False,True,False,False,True,1.0
0260-zdlgk,yes,female,0,no,yes,9,yes,no,dsl,no,no,yes,yes,yes,yes,yes,72.9,651.4,30,21.71333333333333,False,False,True,False,True,1.0
0263-fjtqo,no,male,0,yes,yes,50,yes,yes,dsl,yes,no,no,yes,yes,no,yes,70.5,3486.65,730,4.776232876712329,True,False,False,True,False,0.0
